a.|adj.|adjective	形容词
Jav.|Javanese	爪哇语
Jer.|Jeremiah	《耶利米书》
Join.|Joinery	细木工
Josh.|Joshua	《约书亚记》
Judg.|Judges	《士师记》
K.|Kings	《列王记》
L.|Latin	拉丁语
L.|Low	低地
Lam.|Lamentations	《耶利米哀歌》
Lapp.|Lappish	拉普语
Lat.|Latin	拉丁语
LD.|Low Dutch	低地荷兰语
Lett.|Lettish	拉脱维亚语
Lev.|Leviticus	《利未记》
LG.|Low German	低地德语
LGr.|Low Greek	低地希腊语
Linn.|Linn<ae/us	林奈
Lit.|lit.|Literally, literally	字面上的，字面地
Lit.|Literature	文学
Lith.|Lithuanian	立陶宛语
LL.|Low Latin	中古拉丁语
M.|Middle	中古
m.|masc.|masculine	阳性
Maced.|Macedonian	马其顿语
Mach.|Machinery	机械学
Mad.|Madam	夫人
Mag.|Magazine	杂志
Mal.|Malachi	《玛拉基书》
Malay.|Malayan	马来语
Man.|Man<egrave/ge	马恩语
Manuf.|Manufacturing	制造业
Mar.|Maritime	海事的
Math.|Mathematics, Mathematical	数学，数学的
Matt.|Matthew	《马太福音》
Mech.|Mechanic	机械学
Med.|Medicine	医学
Metal.|Metallurgy	冶金学
Metaph.|Metaphysics	形而上学
Meteor.|Meteorolgy	气象学
mgr.|milligrams	毫克
MHG.|Middle High German	中古高地德语
Micros.|Microscopy	显微镜学
Mil.|Military	军事的
Min.|Mineralogy	矿物学
Mir. for Mag.|Mirror for Magistrates	《为官吏之镜》
MLG.|Middle Low German	中古低地德语
Moham.|Mohammedan	穆斯林的
Mozley & W.|Mozley & Whiteley	莫兹利与怀特利
Mus.|Music	音乐
Myst.|Mysteries	神秘剧
Myth.|Mythology	神话
N.|New	新
n.|noun	名词
Nat. Hist.|Natural History	自然历史
Nat. ord.|Natural order	自然目
Naut.|Nautical	航海的
Nav.|Navy	海军
Navig.|Navigation	航海术
N. Brit. Rev.|North British Review	《北不列颠评论》
Neh.|Nehemiah	《尼希米记》
neut.|neuter	中性
New Am. Cyc.|New American Cyclopedia	《新美利坚百科全书》
New Month. Mag.|New Monthly Magazine	《新月刊杂志》
NF.|New French	新法语
NGr.|Mew Greek	新希腊语
NHeb.|New Hebrew	新希伯来语
NL.|New Latin	新拉丁语
nom.|nominative	主格
Norm. F.|Norman French	诺曼法语
North Am. Rev.|North American Review	《北美评论》
Norw.|Norwegian	挪威语
Num.|Numbers	《民数记》
Numis.|Numismatics	钱币学
O.|Old	古，旧
Ob.|Obadiah	《俄巴底亚书》
Obs.|Obsolete	已废弃的
Obsoles.|Obsolescent	逐渐废弃的
OCelt.|Old Celtic	古凯尔特语
OD.|Old Dutch	古荷兰语
ODan.|Old Danish	古丹麦语
OE.|Old English	古英语
OF.|Old French	古法语
OFelm.|Old Flemish	古佛兰芒语
OFries.|Old Friesic	古弗里斯兰语
OGael.|Old Gaelic	古盖尔语
OGr.|Old Greek	古希腊语
OHG.|Old High German	古高地德语
OIcel.|Old Icelandic	古冰岛语
OIr.|Old Irish	古爱尔兰语
OIt.|Old Italian	古意大利语
OL.|Old Latin	古拉丁语
OLG.|Old Low Greman	古低地德语
ON.|Old Norse	古诺尔斯语
OPer.|Old Persian	古波斯语
OPg.|Old Portuguese	古葡萄牙语
OPol.|Old Polish	古波兰语
Opt.|Optics	光学
orig.|original, originally	原始的，最初
Ornith.|Ornithology	鸟类学
OS.|Old Saxon	古撒克逊语
OSlav.|Old Slavic	古斯拉夫语
OSp.|Old Spanish	古西班牙语
Oxf. Gloss.|Oxford Glossary of Architecture	《牛津建筑术语词典》
p.|participle, page	分词，页
p. a.|participial adjective	分词形容词
Paint.|Painting	绘画
Paleon.|Paleontology	古生物学
pass.|passive	被动语态
Pathol.|Pathology	病理学
P. Cyc.|Penny Cyclopedia	《便士百科全书》
Per.|Persian	波斯语
perh.|perhaps	可能
pers.|person	人称
Persp.|Perspective	透视法
Pert.|Pertaining	关于
Peruv.|Peruvian	秘鲁的
Pet.|Peter	《彼得书》
Pg.|Portuguese	葡萄牙语
Pharm.|Pharmacy, Pharmacop<oe/ia	药学，药典
Phil.|Phillipians	《腓立比书》
Philem.|Philemon	《腓利门书》
Philol.|Philology	语文学
Philos.|Philosophy	哲学
Phon.|Phonetics	语音学
Photog.|Photography	摄影术
Photom.|Photometry	光度学
Phr.|Phrase	短语
Phren.|Phrenology	颅相学
Phys.|Physics	物理学
Phys. Sci.|Physical Science	物理科学
Physiol.|Physiology	生理学
pl.|plural	复数
Poet.|Poetry, Poetical	诗歌，诗的
Pol.|Polish	波兰语
Pol. Econ.|Political Economy	政治经济学
Polit. Econ.|Political Economy	政治经济学
Pop. Sci. Monthly|Polular Science Monthly	《大众科学月刊》
pp.|pages	多页
p. p.|participle past	过去分词
P. Plowman|Piers Plowman	《农夫皮尔斯》
p. pr.|p. ple.|participle present	现在分词
Pr.|Proven<cced/al	普罗旺斯语
Pref.|Preface	前言
pref.|prefix	前缀
prep.|preposition	介词
pret.|preterit	过去时
prin.|principally	主要地
Print.|Printing	印刷术
priv.|privative	否定前缀
prob.|probably	可能
pron.|Pronunciation, pronounced, pronoun	发音，被读作，代词
prop.|properly, proper	正确地，恰当
Pros.|Prosody	韵律学
Prov.|Provincial	方言的
Prov.|Proverbs	《箴言》
Ps.|Psa.|Psalms	《诗篇》
Pyro.-elect.|Pyro-electricity	热释电学
Quart. Rev.|Quarterly Review	《季刊评论》
q. v.|<it>quod vide</it> (which see)	参见
R.|Rare	罕用
R. C.|Roman Catholic	罗马天主教
R. C. Ch.|Roman Catholic Church	罗马天主教会
Rep. Sec. of War|Report of Secretary of War	《战争部长报告》
Rev.|Revelation	《启示录》
Rev.|Review	评论
Rev. Ver.|Revised Version (of the Bible)	《圣经》修订本
Rhet.|Rhetoric	修辞学
R. of Brunne|Robert of Brunne	罗伯特·奥布伦内
R. of Gl.|Robert of Gloucester	格洛斯特的罗伯特
Rom.|Roman, Romans	罗马的，《罗马书》
Rom. Cath.|Roman Catholic	罗马天主教
Rom. of R.|Romaunt of the Rose	《玫瑰传奇》
Rpts.|reports	报告
Russ.|Russian	俄语
Sam.|Samaritan	撒马利亚语
Sam.|Samuel	《撒母耳记》
Sat. Rev.|Saturday Review	《星期六评论》
Sax.|Saxon	撒克逊语
sc.|<it>scilicet</it> (being understood)	即，也就是
Scand.|Scandinavian	斯堪的纳维亚的
Sci.|Science	科学
Sci. Am.|Scientific American	《科学美国人》
Scot.|Scotland, Scottish	苏格兰，苏格兰的
Script.|Scripture, Scriptural	圣经，圣经的
Sculp.|Sculpture	雕塑
Serb|Serbian	塞尔维亚语
Serv.|Servian	塞尔维亚语
Shak.|Shakespeare	莎士比亚
sing.|singular	单数
Skr.|Sanskrit	梵语
Slav.|Slavonic	斯拉夫语
Sp.|Spanish	西班牙语
Specif.|Specifically	具体地
Stat.|Statuary	雕像艺术
subj.|subjunctive	虚拟语气
superl.|superlative	最高级
Surg.|Surgery	外科学
Surv.|Surveying	测量学
Sw.|Swedish	瑞典语
Syd. Soc. Lex.|Sydenham Society Lexicon	西德纳姆学会词典
Syn.|Synonyms	同义词
Synop.|Synopsis	概要
Syr.|Syriac	叙利亚语
Tart.|Tartaric	鞑靼的
Teleg.|Telegraphy	电报学
term.|termination	词尾
Test.|Testament	约，圣约
Theol.|Theology	神学
Thes.|Thessalonians	《帖撒罗尼迦书》
Tim.|Timothy	《提摩太书》
Todd & B.|Todd & Bowman	托德与鲍曼
Trans.|Translation	翻译
Treas.|Treasury	宝库，财政
Trig.|Trigonometry	三角学
Turk.|Turkish	土耳其语
Typog.|Typography	印刷术
Univ.|University	大学
Up.|Upper	高地
U. S.|United States	美利坚合众国
U. S. Disp.|United States Dispensatory	《美国药典》
U. S. Pharm.|United States Pharmacop<oe/ia	《美国药典》
U. S. Int. Rev. Statutes|United States Internal Revenue Statutes	《美国国内税收法规》
usu.|usually	通常
v.|verb	动词
var.|variety	变体
vb. n.|verbal noun	动名词
Veter.|Veterinary	兽医学
v. i.|verb intransitive	不及物动词
Vitr.|Vitruvius	维特鲁威
v. t.|verb transitive	及物动词
W.|Welsh	威尔士语
Wall.|Wallachian	瓦拉几亚语
Westm. Cat.|Westminster Catechism	《威斯敏斯特教理问答》
Westm. Rev.|Westminster Review	《威斯敏斯特评论》
Zech.|Zechariah	《撒迦利亚书》
Zeph.|Zephaniah	《西番雅书》
Zo\'94l.|Zo\'94logy	动物学
